"","Term","Ontology","ratio","pvalue","p.adjust","qvalue","ID","GeneRatio","BgRatio","Count","geneID"
"526","embryonic retina morphogenesis in camera-type eye","Biological Process",14.3429541595925,0.0675000491240285,0.292755893860282,0.260693714219145,"GO:0060059","1/62","19/16896",1,"hipk2"
"527","metanephric mesenchyme development","Biological Process",14.3429541595925,0.0675000491240285,0.292755893860282,0.260693714219145,"GO:0072075","1/62","19/16896",1,"bmp7b"
"528","regulation of platelet aggregation","Biological Process",14.3429541595925,0.0675000491240285,0.292755893860282,0.260693714219145,"GO:0090330","1/62","19/16896",1,"serpine2"
"529","somitogenesis","Biological Process",4.69855394883204,0.0677120811924997,0.292755893860282,0.260693714219145,"GO:0001756","2/62","116/16896",2,"calcrla/zeb2a"
"530","mesenchymal cell development","Biological Process",4.69855394883204,0.0677120811924997,0.292755893860282,0.260693714219145,"GO:0014031","2/62","116/16896",2,"pdgfra/zeb2a"
"531","adult locomotory behavior","Biological Process",3.19354838709677,0.0677557808748894,0.292755893860282,0.260693714219145,"GO:0008344","3/62","256/16896",3,"drd2a/atp2a1l/hipk2"
"532","embryonic pattern specification","Biological Process",2.58922687916635,0.0686289216568252,0.292755893860282,0.260693714219145,"GO:0009880","4/62","421/16896",4,"bmp7b/prkacab/LOC121895699/nanos1"
"533","phosphoprotein binding","Molecular Function",4.65839536807279,0.0687314700311851,0.292755893860282,0.260693714219145,"GO:0051219","2/62","117/16896",2,"plat/LOC121888230"
"534","receptor-mediated endocytosis","Biological Process",3.15655747913812,0.0696457334690428,0.292755893860282,0.260693714219145,"GO:0006898","3/62","259/16896",3,"colec12/drd2a/calcrla"
"535","hindbrain development","Biological Process",3.15655747913812,0.0696457334690428,0.292755893860282,0.260693714219145,"GO:0030902","3/62","259/16896",3,"bmp7b/LOC121911895/serpine2"
"536","cranial skeletal system development","Biological Process",4.61891744122471,0.0697559700493192,0.292755893860282,0.260693714219145,"GO:1904888","2/62","118/16896",2,"pdgfra/LOC121882333"
"537","female pregnancy","Biological Process",3.14441687344913,0.0702810529769115,0.292755893860282,0.260693714219145,"GO:0007565","3/62","260/16896",3,"lamb1b/LOC121882333/serpine2"
"538","proteoglycan metabolic process","Biological Process",4.58010300894551,0.070785531437591,0.292755893860282,0.260693714219145,"GO:0006029","2/62","119/16896",2,"LOC121888618/bmpr1bb"
"539","cellular response to glucose stimulus","Biological Process",4.58010300894551,0.070785531437591,0.292755893860282,0.260693714219145,"GO:0071333","2/62","119/16896",2,"LOC121899291/prkacab"
"540","fatty-acyl-CoA binding","Molecular Function",13.6258064516129,0.0709257170125337,0.292755893860282,0.260693714219145,"GO:0000062","1/62","20/16896",1,"soat1"
"541","P-type calcium transporter activity","Molecular Function",13.6258064516129,0.0709257170125337,0.292755893860282,0.260693714219145,"GO:0005388","1/62","20/16896",1,"atp2a1l"
"542","mesenchymal cell proliferation","Biological Process",13.6258064516129,0.0709257170125337,0.292755893860282,0.260693714219145,"GO:0010463","1/62","20/16896",1,"bmp7b"
"543","oxidoreductase activity, acting on the CH-NH2 group of donors","Molecular Function",13.6258064516129,0.0709257170125337,0.292755893860282,0.260693714219145,"GO:0016638","1/62","20/16896",1,"loxa"
"544","protein kinase A regulatory subunit binding","Molecular Function",13.6258064516129,0.0709257170125337,0.292755893860282,0.260693714219145,"GO:0034237","1/62","20/16896",1,"prkacab"
"545","PRC1 complex","Cellular Component",13.6258064516129,0.0709257170125337,0.292755893860282,0.260693714219145,"GO:0035102","1/62","20/16896",1,"LOC121888230"
"546","long-chain fatty acid binding","Molecular Function",13.6258064516129,0.0709257170125337,0.292755893860282,0.260693714219145,"GO:0036041","1/62","20/16896",1,"pparg"
"547","germinal vesicle","Cellular Component",13.6258064516129,0.0709257170125337,0.292755893860282,0.260693714219145,"GO:0042585","1/62","20/16896",1,"prkacab"
"548","regulation of backward locomotion","Biological Process",13.6258064516129,0.0709257170125337,0.292755893860282,0.260693714219145,"GO:0043058","1/62","20/16896",1,"nr2e3"
"549","positive regulation of fatty acid biosynthetic process","Biological Process",13.6258064516129,0.0709257170125337,0.292755893860282,0.260693714219145,"GO:0045723","1/62","20/16896",1,"pparg"
"550","chemical homeostasis within a tissue","Biological Process",13.6258064516129,0.0709257170125337,0.292755893860282,0.260693714219145,"GO:0048875","1/62","20/16896",1,"ctsh"
"551","arachidonic acid secretion","Biological Process",13.6258064516129,0.0709257170125337,0.292755893860282,0.260693714219145,"GO:0050482","1/62","20/16896",1,"drd2a"
"552","dermatan sulfate proteoglycan metabolic process","Biological Process",13.6258064516129,0.0709257170125337,0.292755893860282,0.260693714219145,"GO:0050655","1/62","20/16896",1,"LOC121888618"
"553","white fat cell differentiation","Biological Process",13.6258064516129,0.0709257170125337,0.292755893860282,0.260693714219145,"GO:0050872","1/62","20/16896",1,"pparg"
"554","negative regulation of cytosolic calcium ion concentration","Biological Process",13.6258064516129,0.0709257170125337,0.292755893860282,0.260693714219145,"GO:0051481","1/62","20/16896",1,"drd2a"
"555","cardiac myofibril assembly","Biological Process",13.6258064516129,0.0709257170125337,0.292755893860282,0.260693714219145,"GO:0055003","1/62","20/16896",1,"pdgfra"
"556","positive regulation of ovulation","Biological Process",13.6258064516129,0.0709257170125337,0.292755893860282,0.260693714219145,"GO:0060279","1/62","20/16896",1,"plat"
"557","regulation of glomerulus development","Biological Process",13.6258064516129,0.0709257170125337,0.292755893860282,0.260693714219145,"GO:0090192","1/62","20/16896",1,"bmp7b"
"558","G protein-coupled receptor complex","Cellular Component",13.6258064516129,0.0709257170125337,0.292755893860282,0.260693714219145,"GO:0097648","1/62","20/16896",1,"calcrla"
"559","arachidonate transport","Biological Process",13.6258064516129,0.0709257170125337,0.292755893860282,0.260693714219145,"GO:1903963","1/62","20/16896",1,"drd2a"
"560","cell junction organization","Biological Process",2.55284430006799,0.0714940989352833,0.292755893860282,0.260693714219145,"GO:0034330","4/62","427/16896",4,"LOC121895699/si:ch73-22o12.1/magi1b/LOC121882333"
"561","regulation of protein kinase B signaling","Biological Process",3.12041369120906,0.0715596468601956,0.292755893860282,0.260693714219145,"GO:0051896","3/62","262/16896",3,"LOC121899291/pdgfra/drd2a"
"562","glial cell migration","Biological Process",4.54193548387097,0.0718201046727409,0.292755893860282,0.260693714219145,"GO:0008347","2/62","120/16896",2,"lamb1b/LOC121909338"
"563","regulation of muscle contraction","Biological Process",3.10854900036796,0.0722029050407423,0.292755893860282,0.260693714219145,"GO:0006937","3/62","263/16896",3,"prkacab/atp2a1l/calcrla"
"564","heart morphogenesis","Biological Process",2.53503375843961,0.0729496671932946,0.292755893860282,0.260693714219145,"GO:0003007","4/62","430/16896",4,"bmp7b/pdgfra/lamb1b/LOC121882333"
"565","neural crest cell differentiation","Biological Process",4.46747752511898,0.073904090012667,0.292755893860282,0.260693714219145,"GO:0014033","2/62","122/16896",2,"pdgfra/zeb2a"
"566","monovalent cation:proton antiporter activity","Molecular Function",12.9769585253456,0.0743390024797789,0.292755893860282,0.260693714219145,"GO:0005451","1/62","21/16896",1,"LOC121908823"
"567","virion attachment to host cell","Biological Process",12.9769585253456,0.0743390024797789,0.292755893860282,0.260693714219145,"GO:0019062","1/62","21/16896",1,"si:ch73-22o12.1"
"568","spinal cord association neuron differentiation","Biological Process",12.9769585253456,0.0743390024797789,0.292755893860282,0.260693714219145,"GO:0021527","1/62","21/16896",1,"LOC121895699"
"569","response to laminar fluid shear stress","Biological Process",12.9769585253456,0.0743390024797789,0.292755893860282,0.260693714219145,"GO:0034616","1/62","21/16896",1,"LOC121882333"
"570","positive regulation of urine volume","Biological Process",12.9769585253456,0.0743390024797789,0.292755893860282,0.260693714219145,"GO:0035810","1/62","21/16896",1,"drd2a"
"571","spanning component of plasma membrane","Cellular Component",12.9769585253456,0.0743390024797789,0.292755893860282,0.260693714219145,"GO:0044214","1/62","21/16896",1,"bmpr1bb"
"572","positive regulation of fatty acid oxidation","Biological Process",12.9769585253456,0.0743390024797789,0.292755893860282,0.260693714219145,"GO:0046321","1/62","21/16896",1,"pparg"
"573","positive regulation of developmental pigmentation","Biological Process",12.9769585253456,0.0743390024797789,0.292755893860282,0.260693714219145,"GO:0048087","1/62","21/16896",1,"zeb2a"
"574","semicircular canal development","Biological Process",12.9769585253456,0.0743390024797789,0.292755893860282,0.260693714219145,"GO:0060872","1/62","21/16896",1,"nbl1"
"575","negative regulation of miRNA-mediated gene silencing","Biological Process",12.9769585253456,0.0743390024797789,0.292755893860282,0.260693714219145,"GO:0060965","1/62","21/16896",1,"pparg"
"576","retina vasculature development in camera-type eye","Biological Process",12.9769585253456,0.0743390024797789,0.292755893860282,0.260693714219145,"GO:0061298","1/62","21/16896",1,"pdgfra"
"577","BMP receptor binding","Molecular Function",12.9769585253456,0.0743390024797789,0.292755893860282,0.260693714219145,"GO:0070700","1/62","21/16896",1,"bmp7b"
"578","response to parathyroid hormone","Biological Process",12.9769585253456,0.0743390024797789,0.292755893860282,0.260693714219145,"GO:0071107","1/62","21/16896",1,"prkacab"
"579","regulation of monocyte chemotaxis","Biological Process",12.9769585253456,0.0743390024797789,0.292755893860282,0.260693714219145,"GO:0090025","1/62","21/16896",1,"nbl1"
"580","GABAergic neuron differentiation","Biological Process",12.9769585253456,0.0743390024797789,0.292755893860282,0.260693714219145,"GO:0097154","1/62","21/16896",1,"drd2a"
"581","sensory neuron axon guidance","Biological Process",12.9769585253456,0.0743390024797789,0.292755893860282,0.260693714219145,"GO:0097374","1/62","21/16896",1,"ntn2"
"582","regulation of apoptotic process involved in morphogenesis","Biological Process",12.9769585253456,0.0743390024797789,0.292755893860282,0.260693714219145,"GO:1902337","1/62","21/16896",1,"bmp7b"
"583","regulation of myoblast proliferation","Biological Process",12.9769585253456,0.0743390024797789,0.292755893860282,0.260693714219145,"GO:2000291","1/62","21/16896",1,"LOC121895699"
"584","regulation of mesenchymal cell apoptotic process","Biological Process",12.9769585253456,0.0743390024797789,0.292755893860282,0.260693714219145,"GO:2001053","1/62","21/16896",1,"bmp7b"
"585","epithelial to mesenchymal transition","Biological Process",4.43115656963021,0.074953404488861,0.292755893860282,0.260693714219145,"GO:0001837","2/62","123/16896",2,"bmp7b/LOC121882333"
"586","cellular response to hexose stimulus","Biological Process",4.43115656963021,0.074953404488861,0.292755893860282,0.260693714219145,"GO:0071331","2/62","123/16896",2,"LOC121899291/prkacab"
"587","tissue migration","Biological Process",2.50589543937709,0.0754094579358019,0.292755893860282,0.260693714219145,"GO:0090130","4/62","435/16896",4,"acta2/LOC121884139/LOC121882333/zeb2a"
"588","neural tube closure","Biological Process",4.39542143600416,0.0760075355520534,0.292755893860282,0.260693714219145,"GO:0001843","2/62","124/16896",2,"prkacab/zeb2a"
"589","regulation of striated muscle contraction","Biological Process",4.39542143600416,0.0760075355520534,0.292755893860282,0.260693714219145,"GO:0006942","2/62","124/16896",2,"prkacab/atp2a1l"
"590","courtship behavior","Biological Process",4.39542143600416,0.0760075355520534,0.292755893860282,0.260693714219145,"GO:0007619","2/62","124/16896",2,"calcrla/tec"
"591","artery development","Biological Process",4.39542143600416,0.0760075355520534,0.292755893860282,0.260693714219145,"GO:0060840","2/62","124/16896",2,"loxa/calcrla"
"592","regulation of DNA biosynthetic process","Biological Process",4.39542143600416,0.0760075355520534,0.292755893860282,0.260693714219145,"GO:2000278","2/62","124/16896",2,"LOC121899291/pparg"
"593","cellular response to oxygen levels","Biological Process",3.02795698924731,0.0767788882290712,0.292755893860282,0.260693714219145,"GO:0071453","3/62","270/16896",3,"bmp7b/pparg/hipk2"
"594","oocyte anterior/posterior axis specification","Biological Process",4.36025806451613,0.077066435088777,0.292755893860282,0.260693714219145,"GO:0007314","2/62","125/16896",2,"prkacab/nanos1"
"595","peptidyl-threonine phosphorylation","Biological Process",4.36025806451613,0.077066435088777,0.292755893860282,0.260693714219145,"GO:0018107","2/62","125/16896",2,"prkacab/hipk2"
"596","regulation of stress fiber assembly","Biological Process",4.36025806451613,0.077066435088777,0.292755893860282,0.260693714219145,"GO:0051492","2/62","125/16896",2,"LOC121899291/LOC121882333"
"597","positive regulation of peptidase activity","Biological Process",3.01678371622426,0.0774429537566411,0.292755893860282,0.260693714219145,"GO:0010952","3/62","271/16896",3,"fbln1/ctsh/pparg"
"598","G protein-coupled receptor internalization","Biological Process",12.3870967741935,0.0777399495521494,0.292755893860282,0.260693714219145,"GO:0002031","1/62","22/16896",1,"drd2a"
"599","negative regulation of sodium ion transport","Biological Process",12.3870967741935,0.0777399495521494,0.292755893860282,0.260693714219145,"GO:0010766","1/62","22/16896",1,"serpine2"
"600","regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion","Biological Process",12.3870967741935,0.0777399495521494,0.292755893860282,0.260693714219145,"GO:0010881","1/62","22/16896",1,"prkacab"
"601","solute:proton antiporter activity","Molecular Function",12.3870967741935,0.0777399495521494,0.292755893860282,0.260693714219145,"GO:0015299","1/62","22/16896",1,"LOC121908823"
"602","circadian sleep/wake cycle process","Biological Process",12.3870967741935,0.0777399495521494,0.292755893860282,0.260693714219145,"GO:0022410","1/62","22/16896",1,"prkacab"
"603","sperm mitochondrion organization","Biological Process",12.3870967741935,0.0777399495521494,0.292755893860282,0.260693714219145,"GO:0030382","1/62","22/16896",1,"si:ch73-22o12.1"
"604","ovarian fusome organization","Biological Process",12.3870967741935,0.0777399495521494,0.292755893860282,0.260693714219145,"GO:0030723","1/62","22/16896",1,"tec"
"605","positive regulation of renal sodium excretion","Biological Process",12.3870967741935,0.0777399495521494,0.292755893860282,0.260693714219145,"GO:0035815","1/62","22/16896",1,"drd2a"
"606","cellular response to increased oxygen levels","Biological Process",12.3870967741935,0.0777399495521494,0.292755893860282,0.260693714219145,"GO:0036295","1/62","22/16896",1,"pparg"
"607","retinal cone cell differentiation","Biological Process",12.3870967741935,0.0777399495521494,0.292755893860282,0.260693714219145,"GO:0042670","1/62","22/16896",1,"dio3a"
"608","positive regulation of striated muscle contraction","Biological Process",12.3870967741935,0.0777399495521494,0.292755893860282,0.260693714219145,"GO:0045989","1/62","22/16896",1,"atp2a1l"
"609","transforming growth factor beta binding","Molecular Function",12.3870967741935,0.0777399495521494,0.292755893860282,0.260693714219145,"GO:0050431","1/62","22/16896",1,"LOC121882333"
"610","circadian sleep/wake cycle, sleep","Biological Process",12.3870967741935,0.0777399495521494,0.292755893860282,0.260693714219145,"GO:0050802","1/62","22/16896",1,"prkacab"
"611","potassium ion homeostasis","Biological Process",12.3870967741935,0.0777399495521494,0.292755893860282,0.260693714219145,"GO:0055075","1/62","22/16896",1,"drd2a"
"612",NA,NA,12.3870967741935,0.0777399495521494,0.292755893860282,0.260693714219145,"GO:0060850","1/62","22/16896",1,"pparg"
"613","nephrocyte differentiation","Biological Process",12.3870967741935,0.0777399495521494,0.292755893860282,0.260693714219145,"GO:0061319","1/62","22/16896",1,"zeb2a"
"614","kidney mesenchyme development","Biological Process",12.3870967741935,0.0777399495521494,0.292755893860282,0.260693714219145,"GO:0072074","1/62","22/16896",1,"bmp7b"
"615","negative regulation of kidney development","Biological Process",12.3870967741935,0.0777399495521494,0.292755893860282,0.260693714219145,"GO:0090185","1/62","22/16896",1,"bmp7b"
"616","craniofacial suture morphogenesis","Biological Process",12.3870967741935,0.0777399495521494,0.292755893860282,0.260693714219145,"GO:0097094","1/62","22/16896",1,"LOC121882333"
"617",NA,NA,12.3870967741935,0.0777399495521494,0.292755893860282,0.260693714219145,"GO:2000574","1/62","22/16896",1,"LOC121884139"
"618","peptidyl-serine modification","Biological Process",3.00569259962049,0.0781095823688904,0.292755893860282,0.260693714219145,"GO:0018209","3/62","272/16896",3,"prkacab/LOC121884139/hipk2"
"619","regulation of ATP-dependent activity","Biological Process",4.32565284178187,0.0781300552634706,0.292755893860282,0.260693714219145,"GO:0043462","2/62","126/16896",2,"LOC121884139/atp2a1l"
"620","regulation of animal organ morphogenesis","Biological Process",2.47180162387536,0.0784166981376225,0.292755893860282,0.260693714219145,"GO:2000027","4/62","441/16896",4,"bmp7b/dio3a/pdgfra/drd2a"
"621","adult behavior","Biological Process",2.46620931250912,0.0789237570440771,0.292755893860282,0.260693714219145,"GO:0030534","4/62","442/16896",4,"drd2a/prkacab/atp2a1l/hipk2"
"622","neural retina development","Biological Process",4.29159258318517,0.0791983485171429,0.292755893860282,0.260693714219145,"GO:0003407","2/62","127/16896",2,"dio3a/hipk2"
"623","smoothened signaling pathway","Biological Process",4.29159258318517,0.0791983485171429,0.292755893860282,0.260693714219145,"GO:0007224","2/62","127/16896",2,"prkacab/hipk2"
"624","beta-catenin binding","Molecular Function",4.29159258318517,0.0791983485171429,0.292755893860282,0.260693714219145,"GO:0008013","2/62","127/16896",2,"magi1b/hipk2"
"625","maternal determination of anterior/posterior axis, embryo","Biological Process",4.29159258318517,0.0791983485171429,0.292755893860282,0.260693714219145,"GO:0008358","2/62","127/16896",2,"prkacab/nanos1"
"626","tube closure","Biological Process",4.29159258318517,0.0791983485171429,0.292755893860282,0.260693714219145,"GO:0060606","2/62","127/16896",2,"prkacab/zeb2a"
"627","extracellular matrix organization","Biological Process",2.46064224859827,0.0794324814593187,0.292755893860282,0.260693714219145,"GO:0030198","4/62","443/16896",4,"fbln1/pdgfra/loxa/lamb1b"
"628","negative regulation of defense response","Biological Process",2.97290322580645,0.0801247610969877,0.292755893860282,0.260693714219145,"GO:0031348","3/62","275/16896",3,"drd2a/pparg/calcrla"
"629","cellular response to monosaccharide stimulus","Biological Process",4.25806451612903,0.0802712675660409,0.292755893860282,0.260693714219145,"GO:0071326","2/62","128/16896",2,"LOC121899291/prkacab"
"630","tube formation","Biological Process",2.96213183730715,0.0808015562398754,0.292755893860282,0.260693714219145,"GO:0035148","3/62","276/16896",3,"bmp7b/prkacab/zeb2a"
"631",NA,NA,11.8485273492286,0.0811286021020944,0.292755893860282,0.260693714219145,"GO:0000983","1/62","23/16896",1,"LOC121895699"
"632","pericardium morphogenesis","Biological Process",11.8485273492286,0.0811286021020944,0.292755893860282,0.260693714219145,"GO:0003344","1/62","23/16896",1,"bmp7b"
"633","glycine metabolic process","Biological Process",11.8485273492286,0.0811286021020944,0.292755893860282,0.260693714219145,"GO:0006544","1/62","23/16896",1,"LOC121904145"
"634","regulation of plasminogen activation","Biological Process",11.8485273492286,0.0811286021020944,0.292755893860282,0.260693714219145,"GO:0010755","1/62","23/16896",1,"serpine2"
"635",NA,NA,11.8485273492286,0.0811286021020944,0.292755893860282,0.260693714219145,"GO:0010869","1/62","23/16896",1,"pparg"
"636","phasic smooth muscle contraction","Biological Process",11.8485273492286,0.0811286021020944,0.292755893860282,0.260693714219145,"GO:0014821","1/62","23/16896",1,"drd2a"
"637","adenohypophysis development","Biological Process",11.8485273492286,0.0811286021020944,0.292755893860282,0.260693714219145,"GO:0021984","1/62","23/16896",1,"drd2a"
"638","corpus callosum development","Biological Process",11.8485273492286,0.0811286021020944,0.292755893860282,0.260693714219145,"GO:0022038","1/62","23/16896",1,"zeb2a"
"639","SUMO binding","Molecular Function",11.8485273492286,0.0811286021020944,0.292755893860282,0.260693714219145,"GO:0032183","1/62","23/16896",1,"LOC121888230"
"640","icosanoid secretion","Biological Process",11.8485273492286,0.0811286021020944,0.292755893860282,0.260693714219145,"GO:0032309","1/62","23/16896",1,"drd2a"
"641","adhesion of symbiont to host cell","Biological Process",11.8485273492286,0.0811286021020944,0.292755893860282,0.260693714219145,"GO:0044650","1/62","23/16896",1,"si:ch73-22o12.1"
"642","regulation of imaginal disc-derived wing size","Biological Process",11.8485273492286,0.0811286021020944,0.292755893860282,0.260693714219145,"GO:0044719","1/62","23/16896",1,"tec"
"643","determination of dorsal/ventral asymmetry","Biological Process",11.8485273492286,0.0811286021020944,0.292755893860282,0.260693714219145,"GO:0048262","1/62","23/16896",1,"nbl1"
"644","positive regulation of oligodendrocyte differentiation","Biological Process",11.8485273492286,0.0811286021020944,0.292755893860282,0.260693714219145,"GO:0048714","1/62","23/16896",1,"pparg"
"645","regulation of growth hormone secretion","Biological Process",11.8485273492286,0.0811286021020944,0.292755893860282,0.260693714219145,"GO:0060123","1/62","23/16896",1,"drd2a"
"646","embryonic skeletal joint morphogenesis","Biological Process",11.8485273492286,0.0811286021020944,0.292755893860282,0.260693714219145,"GO:0060272","1/62","23/16896",1,"bmp7b"
"647","cellular response to prostaglandin E stimulus","Biological Process",11.8485273492286,0.0811286021020944,0.292755893860282,0.260693714219145,"GO:0071380","1/62","23/16896",1,"pparg"
"648","cell communication by electrical coupling involved in cardiac conduction","Biological Process",11.8485273492286,0.0811286021020944,0.292755893860282,0.260693714219145,"GO:0086064","1/62","23/16896",1,"prkacab"
"649","catecholamine binding","Molecular Function",11.8485273492286,0.0811286021020944,0.292755893860282,0.260693714219145,"GO:1901338","1/62","23/16896",1,"drd2a"
"650","positive regulation of extrinsic apoptotic signaling pathway via death domain receptors","Biological Process",11.8485273492286,0.0811286021020944,0.292755893860282,0.260693714219145,"GO:1902043","1/62","23/16896",1,"bmpr1bb"
"651","regulation of vascular endothelial cell proliferation","Biological Process",11.8485273492286,0.0811286021020944,0.292755893860282,0.260693714219145,"GO:1905562","1/62","23/16896",1,"pparg"
"652","positive regulation of multicellular organism growth","Biological Process",4.22505626406602,0.0813487654003252,0.292755893860282,0.260693714219145,"GO:0040018","2/62","129/16896",2,"dio3a/drd2a"
"653","response to fatty acid","Biological Process",4.22505626406602,0.0813487654003252,0.292755893860282,0.260693714219145,"GO:0070542","2/62","129/16896",2,"plat/pparg"
"654","anterior/posterior axis specification","Biological Process",2.95143822056597,0.0814808713741645,0.292782947598297,0.260717805072974,"GO:0009948","3/62","277/16896",3,"bmp7b/prkacab/nanos1"
"655","circadian behavior","Biological Process",4.19255583126551,0.0824307952827502,0.294126367094093,0.26191409531156,"GO:0048512","2/62","130/16896",2,"prkacab/nr2e3"
"656","morphogenesis of embryonic epithelium","Biological Process",2.42236559139785,0.0830399724883539,0.294126367094093,0.26191409531156,"GO:0016331","4/62","450/16896",4,"bmp7b/prkacab/tec/zeb2a"
"657","regulation of stem cell differentiation","Biological Process",4.16055158827875,0.0835173107473498,0.294126367094093,0.26191409531156,"GO:2000736","2/62","131/16896",2,"bmp7b/pdgfra"
"658","steroid metabolic process","Biological Process",2.91981566820276,0.0835338492462609,0.294126367094093,0.26191409531156,"GO:0008202","3/62","280/16896",3,"pdgfra/bmpr1bb/soat1"
"659","positive regulation of T cell mediated cytotoxicity","Biological Process",11.3548387096774,0.0845050038486519,0.294126367094093,0.26191409531156,"GO:0001916","1/62","24/16896",1,"si:ch73-22o12.1"
"660","nuclear outer membrane","Cellular Component",11.3548387096774,0.0845050038486519,0.294126367094093,0.26191409531156,"GO:0005640","1/62","24/16896",1,"retsat.2"
"661","phagocytosis, recognition","Biological Process",11.3548387096774,0.0845050038486519,0.294126367094093,0.26191409531156,"GO:0006910","1/62","24/16896",1,"colec12"
"662","grooming behavior","Biological Process",11.3548387096774,0.0845050038486519,0.294126367094093,0.26191409531156,"GO:0007625","1/62","24/16896",1,"drd2a"
"663","positive regulation of glycoprotein biosynthetic process","Biological Process",11.3548387096774,0.0845050038486519,0.294126367094093,0.26191409531156,"GO:0010560","1/62","24/16896",1,"soat1"
"664","positive regulation of striated muscle cell apoptotic process","Biological Process",11.3548387096774,0.0845050038486519,0.294126367094093,0.26191409531156,"GO:0010663","1/62","24/16896",1,"LOC121889464"
"665","positive regulation of cardiac muscle cell apoptotic process","Biological Process",11.3548387096774,0.0845050038486519,0.294126367094093,0.26191409531156,"GO:0010666","1/62","24/16896",1,"LOC121889464"
"666","response to inactivity","Biological Process",11.3548387096774,0.0845050038486519,0.294126367094093,0.26191409531156,"GO:0014854","1/62","24/16896",1,"drd2a"
"667","SUMO transferase activity","Molecular Function",11.3548387096774,0.0845050038486519,0.294126367094093,0.26191409531156,"GO:0019789","1/62","24/16896",1,"LOC121888230"
"668","vascular endothelial growth factor signaling pathway","Biological Process",11.3548387096774,0.0845050038486519,0.294126367094093,0.26191409531156,"GO:0038084","1/62","24/16896",1,"pdgfra"
"669","cellular modified amino acid catabolic process","Biological Process",11.3548387096774,0.0845050038486519,0.294126367094093,0.26191409531156,"GO:0042219","1/62","24/16896",1,"dio3a"
"670","adhesion of symbiont to host","Biological Process",11.3548387096774,0.0845050038486519,0.294126367094093,0.26191409531156,"GO:0044406","1/62","24/16896",1,"si:ch73-22o12.1"
"671","fusome organization","Biological Process",11.3548387096774,0.0845050038486519,0.294126367094093,0.26191409531156,"GO:0045478","1/62","24/16896",1,"tec"
"672","positive regulation of antigen receptor-mediated signaling pathway","Biological Process",11.3548387096774,0.0845050038486519,0.294126367094093,0.26191409531156,"GO:0050857","1/62","24/16896",1,"si:ch73-22o12.1"
"673","maintenance of organelle location","Biological Process",11.3548387096774,0.0845050038486519,0.294126367094093,0.26191409531156,"GO:0051657","1/62","24/16896",1,"atp2a1l"
"674","glycolipid binding","Molecular Function",11.3548387096774,0.0845050038486519,0.294126367094093,0.26191409531156,"GO:0051861","1/62","24/16896",1,"lamb1b"
"675","regulation of SMAD protein signal transduction","Biological Process",11.3548387096774,0.0845050038486519,0.294126367094093,0.26191409531156,"GO:0060390","1/62","24/16896",1,"LOC121882333"
"676","peptidyl-threonine modification","Biological Process",4.12903225806452,0.0846082655981306,0.294126367094093,0.26191409531156,"GO:0018210","2/62","132/16896",2,"prkacab/hipk2"
"677","blood vessel morphogenesis","Biological Process",2.40102316327981,0.0851376376458329,0.295529465978888,0.26316352894335,"GO:0048514","4/62","454/16896",4,"colec12/pdgfra/loxa/calcrla"
"678","positive regulation of axon extension","Biological Process",4.09798690274072,0.0857036139077682,0.296684793306397,0.264192326581464,"GO:0045773","2/62","133/16896",2,"zeb2a/nr2e3"
"679","transcription regulator complex","Cellular Component",2.39049235993209,0.0861962838439446,0.296684793306397,0.264192326581464,"GO:0005667","4/62","456/16896",4,"LOC121895699/pparg/hipk2/nr2e3"
"680","negative regulation of hormone secretion","Biological Process",4.06740491092923,0.0868033100163116,0.296684793306397,0.264192326581464,"GO:0046888","2/62","134/16896",2,"drd2a/pparg"
"681","regulation of MAP kinase activity","Biological Process",2.37486822686064,0.0877964570745581,0.296684793306397,0.264192326581464,"GO:0043405","4/62","459/16896",4,"bmp7b/LOC121899291/LOC121882333/zeb2a"
"682","opsonin binding","Molecular Function",10.9006451612903,0.0878691983579798,0.296684793306397,0.264192326581464,"GO:0001846","1/62","25/16896",1,"ptx3a"
"683","leukocyte mediated cytotoxicity","Biological Process",10.9006451612903,0.0878691983579798,0.296684793306397,0.264192326581464,"GO:0001909","1/62","25/16896",1,"ctsh"
"684","nervous system process involved in regulation of systemic arterial blood pressure","Biological Process",10.9006451612903,0.0878691983579798,0.296684793306397,0.264192326581464,"GO:0001976","1/62","25/16896",1,"drd2a"
"685","regulation of cholesterol efflux","Biological Process",10.9006451612903,0.0878691983579798,0.296684793306397,0.264192326581464,"GO:0010874","1/62","25/16896",1,"pparg"
"686","regulation of sequestering of triglyceride","Biological Process",10.9006451612903,0.0878691983579798,0.296684793306397,0.264192326581464,"GO:0010889","1/62","25/16896",1,"pparg"
"687",NA,NA,10.9006451612903,0.0878691983579798,0.296684793306397,0.264192326581464,"GO:0017160","1/62","25/16896",1,"magi1b"
"688","signal transduction involved in regulation of gene expression","Biological Process",10.9006451612903,0.0878691983579798,0.296684793306397,0.264192326581464,"GO:0023019","1/62","25/16896",1,"pdgfra"
"689","germline ring canal formation","Biological Process",10.9006451612903,0.0878691983579798,0.296684793306397,0.264192326581464,"GO:0030725","1/62","25/16896",1,"tec"
"690","regulation of heterotypic cell-cell adhesion","Biological Process",10.9006451612903,0.0878691983579798,0.296684793306397,0.264192326581464,"GO:0034114","1/62","25/16896",1,"bmp7b"
